"","name","bud","donor","profit","grant1","sofin1"
"6967","Благотворительный детский фонд """"""""Виктория""""""""",999,999,999,4947430,1141500
"7061","Фонд поддержки кино, радио, телевидения, мультимедиа и анимация Николая Расторгуева",999,999,999,9712412,5676312
"7070","Фонд социально-культурного развития и инноваций «Культура наций»",9462,0,46,9521266,6767840
"7091","Фонд развития творчества """"""""Жизнь и Дело""""""""",999,999,999,3121755.2,1875699.6
"7196","Благотворительный фонд помощи людям с Боковым Амиотрофическим Склерозом и другими нейромышечными заболеваниями """"""""Живи сейчас""""""""",999,999,999,6369056.5,4324731
"7219","Фонд - собственник целевого капитала """"""""Фонд поддержки талантливой молодежи """"""""Будущие лидеры""""""""",999,999,999,8933100,1489622
"7242","Фонд возрождения национального культурного наследия """"""""Формула успеха"""""""" имени В.М. Шукшина",999,999,999,6676826,3121800
"7268","Городской благотворительный фонд """"""""Фонд Тольятти""""""""",999,999,999,6857480,549038
"7271","Фонд организации экспедиций """"""""Сибирский экспедиционный центр""""""""",999,999,999,5110092.5,4936790
"7287","Некоммерческая организация """"""""Благотворительный Фонд """"""""АдВИТА""""""""",0,203971,0,5572108,680940
"7397","Некоммерческая организация """"""""ФОНД РАЗВИТИЯ КУЛЬТУРЫ И КИНЕМАТОГРАФИИ """"""""СТРАНА""""""""",999,999,999,5876000,25702800
"7432","Благотворительный фонд социальной поддержки и защиты граждан """"""""Дорога в жизнь""""""""",999,999,999,3482040,5618150
"7452","Благотворительный фонд «СОЗВЕЗДИЕ СЕРДЕЦ»",999,999,999,8055583,5785360
"7472","Благотворительный фонд """"""""Добрый город Петербург""""""""",999,999,999,8999549,5243989
"7480","Некоммерческий фонд """"""""Национальный фонд развития здравоохранения""""""""",999,999,999,5673185,1086970
"7483","Некоммерческий фонд """"""""Национальный фонд развития здравоохранения""""""""",999,999,999,5673185,1086970
"7485","Некоммерческий фонд """"""""Национальный фонд развития здравоохранения""""""""",999,999,999,5673185,1086970
"7513","Благотворительный фонд поддержки семьи, защиты детства, материнства и отцовства """"""""ОМК - Участие""""""""",999,999,999,5628075.5,1640829
"7521","Благотворительный фонд содействия образованию детей - сирот """"""""Большая Перемена""""""""",999,999,999,4237118,2469470
"7645","Благотворительный фонд «Спина бифида»",999,999,999,4007554.8,4024840
"7679","Фонд поддержки и развития еврейской культуры, традиций, образования и науки",999,999,999,3997069,394000
"7684","Фонд """"""""Фонд развития современного искусства""""""""",999,999,999,4200000,1924024
"7802","Благотворительный Фонд поддержки людей с синдромом Дауна """"""""Синдром любви""""""""",999,999,999,3121057.2,567876
"7840","Некоммерческая организация """"""""Иркутский Молодёжный Фонд правозащитников """"""""Ювента""""""""",999,999,999,3385328,1174570
"7863","Благотворительный фонд помощи тяжело больным детям, сиротам и инвалидам """"""""РУСФОНД""""""""",999,999,999,7003611,8.4e+07
"7879","Благотворительный фонд развития паллиативной помощи """"""""Детский паллиатив""""""""",999,999,999,5235653.1,2831628.4
"7880","Благотворительный фонд развития паллиативной помощи """"""""Детский паллиатив""""""""",999,999,999,3724836.8,2415661.3
